IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,IDTEALIN,IDTEACH,IDLINK,IDPOP,IDGRADER,IDGRADE,IDSUBJ,ITCOURSE,MATSUBJ,SCISUBJ,NMTEACH,NSTEACH,NTEACH,MATWGT,SCIWGT,TCHWGT,JKREP,JKZONE,ASMMAT01,ASMMAT02,ASMMAT03,ASMMAT04,ASMMAT05,ASSSCI01,ASSSCI02,ASSSCI03,ASSSCI04,ASSSCI05,ASMIBM01,ASMIBM02,ASMIBM03,ASMIBM04,ASMIBM05,ASSIBM01,ASSIBM02,ASSIBM03,ASSIBM04,ASSIBM05,VERSION,SCOPE
208.0,15.0,5002.0,500203.0,50020312.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,541.08525,565.38678,558.97068,585.82514,505.91948,567.58608,548.23905,566.68555,554.22497,548.0324,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0
208.0,15.0,5002.0,500203.0,50020312.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,541.08525,565.38678,558.97068,585.82514,505.91948,567.58608,548.23905,566.68555,554.22497,548.0324,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0
208.0,8.0,5002.0,500203.0,50020313.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,591.04465,627.50623,613.12478,597.58924,662.12795,546.68605,566.65697,562.97944,551.62152,571.01213,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,8.0,5002.0,500203.0,50020313.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,591.04465,627.50623,613.12478,597.58924,662.12795,546.68605,566.65697,562.97944,551.62152,571.01213,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,9.0,5002.0,500203.0,50020314.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,693.88561,651.03261,612.57942,661.16294,606.01676,558.15213,597.36584,555.4919,564.57711,573.98927,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,9.0,5002.0,500203.0,50020314.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,693.88561,651.03261,612.57942,661.16294,606.01676,558.15213,597.36584,555.4919,564.57711,573.98927,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,10.0,5002.0,500203.0,50020315.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,615.91046,562.17702,544.19294,561.14967,573.16712,636.94343,607.05027,551.02,573.09569,592.65378,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,10.0,5002.0,500203.0,50020315.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,615.91046,562.17702,544.19294,561.14967,573.16712,636.94343,607.05027,551.02,573.09569,592.65378,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0
208.0,11.0,5002.0,500203.0,50020316.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,555.67913,509.56668,554.13007,549.97263,526.52746,608.82104,541.17094,590.25087,526.64164,522.1126,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,1.0
208.0,11.0,5002.0,500203.0,50020316.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,555.67913,509.56668,554.13007,549.97263,526.52746,608.82104,541.17094,590.25087,526.64164,522.1126,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,1.0
208.0,12.0,5002.0,500203.0,50020317.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,493.2721,495.76512,508.60483,507.15657,502.68262,527.37552,516.67278,532.65769,522.93836,529.02186,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,12.0,5002.0,500203.0,50020317.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,493.2721,495.76512,508.60483,507.15657,502.68262,527.37552,516.67278,532.65769,522.93836,529.02186,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,13.0,5002.0,500203.0,50020318.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,508.21672,498.85027,508.03515,500.799,553.19735,552.00113,525.00163,538.80151,522.86502,519.76133,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0
